player 1,player 2,minutes,plus-minus,points scored,offensive possession,turnovers,offensive rebounds,defensive rebounds given,2-pt made,2-pt missed,3-pt made,3-pt missed,assists,free-throw attempt,points givens,defensive possession,turnovers forced,offensive rebounds given,defensive rebounds,2-pt made given,2-pt missed given,3-pt made given,3-pt missed given,assists given,free-throw attempt given
"DAVIS,EVAN","KIRSCH,MAXWELL",01:16:32,-22,122,127,34,20,38,36,35,13,23,24,17,144,124,25,17,35,34,32,15,17,27,45
"MKPADO,KELE","KEINAN,DANIEL",00:03:26,-3,5,6,1,4,2,2,3,0,3,0,2,8,6,1,0,1,2,1,0,0,0,4
"HORN,JEREMY","SUI,MARK",00:08:39,9,15,13,3,3,5,4,5,2,2,3,3,6,13,7,2,2,1,2,0,1,0,7
"HALL,RILEY","MKPADO,KELE",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ELY,JACK","WALKER,GEORGE",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HALL,RILEY","GARVIN,SAM",00:03:54,4,6,6,0,1,3,3,3,0,1,1,0,2,6,0,0,5,1,2,0,3,0,0
"SUI,MARK","GARVIN,SAM",00:01:41,-3,1,3,1,0,2,0,1,0,0,0,2,4,3,1,0,0,0,0,0,0,0,4
"HORN,JEREMY","GARVIN,SAM",00:04:39,5,9,7,0,1,3,3,3,1,1,2,0,4,8,0,0,6,2,3,0,3,0,0
"MORRIS,KENDRICK","WALKER,GEORGE",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRESIDENT,MILES","LYNDS,SCOTT",04:37:28,107,561,476,93,69,145,138,119,66,80,115,115,454,454,73,48,188,110,125,50,95,84,117
"LEVINE,JD","MKPADO,KELE",00:12:27,7,26,20,4,4,7,6,5,4,4,6,4,19,21,9,1,4,3,4,1,0,1,12
"KUSCH,RYAN","LEVINE,JD",00:23:57,7,51,42,12,6,7,11,9,8,3,13,10,44,42,10,2,14,12,10,4,3,6,12
"MYERS,PATRICK","PRESIDENT,MILES",03:50:05,9,383,371,71,48,128,106,105,35,64,74,82,374,366,78,39,129,87,78,40,82,78,103
"LYNDS,SCOTT","WALKER,GEORGE",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAVIS,EVAN","MADDOCK,ANDREW",00:21:08,1,37,33,7,5,10,10,9,5,8,6,3,36,34,6,5,12,7,7,2,7,4,20
"MADDOCK,ANDREW","MKPADO,KELE",00:00:57,-2,2,1,0,1,0,1,0,0,1,0,0,4,3,1,0,0,0,0,0,0,0,4
"HORN,JEREMY","WALKER,GEORGE",00:05:22,3,11,8,0,3,3,2,4,2,2,3,2,8,8,2,1,3,1,3,1,0,1,5
"MADDOCK,ANDREW","KEINAN,DANIEL",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAVIS,EVAN","ELY,JACK",02:16:23,-10,232,221,42,36,77,64,57,21,45,37,62,242,222,34,33,85,59,69,26,36,38,69
"PRESIDENT,MILES","GARVIN,SAM",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MADDOCK,ANDREW","SUI,MARK",00:01:47,0,3,3,1,1,0,1,1,0,0,0,2,3,4,0,0,3,1,1,0,1,0,2
"ELY,JACK","MKPADO,KELE",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ELY,JACK","MORRIS,KENDRICK",04:58:56,72,570,498,98,76,144,170,116,41,80,104,151,498,508,107,51,184,127,128,51,83,83,132
